Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Paris Saint-Germain,France,Ligue 1,889050000.0,28,21,3,4,66,2.36
Stade Rennais FC,France,Ligue 1,319500000.0,28,15,5,8,50,1.79
Olympique Marseille,France,Ligue 1,241200000.0,28,18,5,5,59,2.11
OGC Nice,France,Ligue 1,202800000.0,28,11,11,6,44,1.57
Olympique Lyon,France,Ligue 1,199800000.0,28,11,8,9,41,1.46
LOSC Lille,France,Ligue 1,185700000.0,28,14,7,7,49,1.75
RC Lens,France,Ligue 1,168300000.0,28,16,9,3,57,2.04
FC Nantes,France,Ligue 1,118300000.0,28,6,12,10,30,1.07
Montpellier HSC,France,Ligue 1,103900000.0,28,11,3,14,36,1.29
RC Strasbourg Alsace,France,Ligue 1,92300000.0,28,5,11,12,26,0.93
FC Lorient,France,Ligue 1,80500000.0,28,12,8,8,44,1.57
ESTAC Troyes,France,Ligue 1,77200000.0,28,4,9,15,21,0.75
Stade Brestois 29,France,Ligue 1,72300000.0,28,5,9,14,24,0.86
Stade Reims,France,Ligue 1,70450000.0,28,10,13,5,43,1.54
FC Toulouse,France,Ligue 1,61350000.0,28,10,5,13,35,1.25
Angers SCO,France,Ligue 1,55000000.0,28,2,4,22,10,0.36
AJ Auxerre,France,Ligue 1,49200000.0,28,5,8,15,23,0.82
Clermont Foot 63,France,Ligue 1,32900000.0,28,9,7,12,34,1.21
AC Ajaccio,France,Ligue 1,25950000.0,28,6,3,19,21,0.75
AS Monaco,Monaco,Ligue 1,306400000.0,28,16,6,6,54,1.93
