Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Manchester City,England,Premier League,1050000000.0,27,19,4,4,61,2.26
Chelsea FC,England,Premier League,1020000000.0,27,10,8,9,38,1.41
Arsenal FC,England,Premier League,890000000.0,28,22,3,3,69,2.46
Liverpool FC,England,Premier League,879000000.0,26,12,6,8,42,1.62
Manchester United,England,Premier League,795700000.0,26,15,5,6,50,1.92
Tottenham Hotspur,England,Premier League,680300000.0,28,15,4,9,49,1.75
Newcastle United,England,Premier League,494300000.0,26,12,11,3,47,1.81
West Ham United,England,Premier League,451500000.0,26,6,6,14,24,0.92
Leicester City,England,Premier League,443100000.0,27,7,4,16,25,0.93
Aston Villa,England,Premier League,437000000.0,27,11,5,11,38,1.41
Wolverhampton Wanderers,England,Premier League,398700000.0,28,7,6,15,27,0.96
Southampton FC,England,Premier League,397000000.0,28,6,5,17,23,0.82
Brighton & Hove Albion,England,Premier League,358500000.0,25,12,6,7,42,1.68
Everton FC,England,Premier League,352900000.0,28,6,8,14,26,0.93
Nottingham Forest,England,Premier League,332650000.0,27,6,8,13,26,0.96
Leeds United,England,Premier League,319000000.0,27,6,8,13,26,0.96
Brentford FC,England,Premier League,318100000.0,27,10,12,5,42,1.56
Crystal Palace,England,Premier League,309950000.0,28,6,9,13,27,0.96
Fulham FC,England,Premier League,253500000.0,27,11,6,10,39,1.44
AFC Bournemouth,England,Premier League,243700000.0,27,6,6,15,24,0.89
